"path","api_class","with_http_info","request_model","response_model","note","implemented","request_strong","response_strong"
"/v1/circle/set_approve_join","ICircleApi","CircleSetApproveJoinWithHttpInfo","CircleSetApproveJoinRequest","CircleSetApproveJoinResponse","","","",""
"/v1/circle/set_cancel_invite","ICircleApi","CircleSetCancelInviteWithHttpInfo","CircleSetCancelInviteRequest","CircleSetCancelInviteResponse","","","",""
"/v1/circle/set_cancel_join","ICircleApi","CircleSetCancelJoinWithHttpInfo","CircleSetCancelJoinRequest","CircleSetCancelJoinResponse","","","",""
"/v1/circle/set_chat_message","ICircleApi","CircleSetChatMessageWithHttpInfo","CircleSetChatMessageRequest","CircleSetChatMessageResponse","","","",""
"/v1/circle/set_create","ICircleApi","CircleSetCreateWithHttpInfo","CircleSetCreateRequest","CircleSetCreateResponse","","","",""
"/v1/circle/set_dismissal","ICircleApi","CircleSetDismissalWithHttpInfo","CircleSetDismissalRequest","CircleSetDismissalResponse","","","",""
"/v1/circle/set_dissolution","ICircleApi","CircleSetDissolutionWithHttpInfo","","CircleSetDissolutionResponse","","","",""
"/v1/circle/set_donation","ICircleApi","CircleSetDonationWithHttpInfo","CircleSetDonationRequest","CircleSetDonationResponse","","","",""
"/v1/circle/set_expulsion","ICircleApi","CircleSetExpulsionWithHttpInfo","CircleSetExpulsionRequest","CircleSetExpulsionResponse","","","",""
"/v1/circle/set_invite","ICircleApi","CircleSetInviteWithHttpInfo","CircleSetInviteRequest","CircleSetInviteResponse","","","",""
"/v1/circle/set_item_request","ICircleApi","CircleSetItemRequestWithHttpInfo","CircleSetItemRequestRequest","CircleSetItemRequestResponse","","","",""
"/v1/circle/set_join","ICircleApi","CircleSetJoinWithHttpInfo","CircleSetJoinRequest","CircleSetJoinResponse","","","",""
"/v1/circle/set_out","ICircleApi","CircleSetOutWithHttpInfo","","CircleSetOutResponse","","","",""
"/v1/circle/set_position","ICircleApi","CircleSetPositionWithHttpInfo","CircleSetPositionRequest","CircleSetPositionResponse","","","",""
"/v1/circle/set_reject_invite","ICircleApi","CircleSetRejectInviteWithHttpInfo","CircleSetRejectInviteRequest","CircleSetRejectInviteResponse","","","",""
"/v1/circle/set_reject_join","ICircleApi","CircleSetRejectJoinWithHttpInfo","CircleSetRejectJoinRequest","CircleSetRejectJoinResponse","","","",""
"/v1/circle/set_setting","ICircleApi","CircleSetSettingWithHttpInfo","CircleSetSettingRequest","CircleSetSettingResponse","","","",""
"/v1/circle/set_transfer_leader","ICircleApi","CircleSetTransferLeaderWithHttpInfo","CircleSetTransferLeaderRequest","CircleSetTransferLeaderResponse","","","",""
"/v1/collection/get_character_info","ICollectionApi","CollectionGetCharacterInfoWithHttpInfo","GetCharacterInfoRequest","GetCharacterInfoResponse","","","",""
"/v1/collection/get_emoji_list","ICollectionApi","CollectionGetEmojiListWithHttpInfo","","GetEmojiListResponse","","","",""
"/v1/collection/get_gallary_list","ICollectionApi","CollectionGetGallaryListWithHttpInfo","","GetGallaryListResponse","","","",""
"/v1/collection/get_music_list","ICollectionApi","CollectionGetMusicListWithHttpInfo","","GetMusicListResponse","","","",""
"/v1/collection/get_sticker_list","ICollectionApi","CollectionGetStickerListWithHttpInfo","","GetStickerListResponse","","","",""
"/v1/collection/set_gallary_data","ICollectionApi","CollectionSetGallaryDataWithHttpInfo","SetGallaryDataRequest","SetGallaryDataResponse","","","",""
"/v1/collection/set_music_play","ICollectionApi","CollectionSetMusicPlayWithHttpInfo","SetMusicPlayRequest","SetMusicPlayResponse","","","",""
"/v1/common/get_header_announs","ICommonApi","CommonGetHeaderAnnounsWithHttpInfo","","CommonGetHeaderAnnounsResponse","","","",""
"/v1/feslive/circle_chat/comment","IFesliveApi","FesliveCircleChatCommentWithHttpInfo","FesliveCircleChatCommentRequest","FesliveCircleChatCommentResponse","","","",""
"/v1/feslive/clap","IFesliveApi","FesliveClapWithHttpInfo","FesliveClapRequest","json::Value","","","",""
"/v1/feslive/comment","IFesliveApi","FesliveCommentWithHttpInfo","FesliveCommentRequest","FesliveCommentResponse","","","",""
"/v1/feslive/connect_token","IFesliveApi","FesliveConnectTokenWithHttpInfo","LiveConnectTokenRequest","LiveConnectTokenResponse","","","",""
"/v1/feslive/enquete","IFesliveApi","FesliveEnqueteWithHttpInfo","FesliveEnqueteRequest","json::Value","","","",""
"/v1/feslive/enter","IFesliveApi","FesliveEnterWithHttpInfo","FesliveEnterRequest","FesliveEnterResponse","","","",""
"/v1/feslive/get_gift_shop_list","IFesliveApi","FesliveGetGiftShopListWithHttpInfo","FesliveGetGiftShopListRequest","FesliveGetGiftShopListResponse","","","",""
"/v1/feslive/get_list","IFesliveApi","FesliveGetListWithHttpInfo","","FesliveGetListResponse","","","",""
"/v1/feslive/gift","IFesliveApi","FesliveGiftWithHttpInfo","FesliveGiftRequest","FesliveGiftResponse","","","",""
"/v1/feslive/gift_pt_rankings","IFesliveApi","FesliveGiftPtRankingsWithHttpInfo","string liveId","FesliveGiftPtRankingsResponse","","","",""
"/v1/feslive/grand_prix_ranking","IFesliveApi","FesliveGrandPrixRankingWithHttpInfo","FesliveGrandPrixRankingRequest","FesliveGrandPrixRankingResponse","","","",""
"/v1/feslive/live_announcement","IFesliveApi","FesliveLiveAnnouncementWithHttpInfo","string liveId","FesliveLiveAnnouncementResponse","","","",""
"/v1/feslive/live_info","IFesliveApi","FesliveLiveInfoWithHttpInfo","string liveId, string offsetTimelineId, string offsetCircleChatId","FesliveLiveInfoResponse","","","",""
"/v1/feslive/live_subinfo","IFesliveApi","FesliveLiveSubinfoWithHttpInfo","string liveId","FesliveLiveSubinfoResponse","","","",""
"/v1/feslive/lobby","IFesliveApi","FesliveLobbyWithHttpInfo","FesliveLobbyRequest","FesliveLobbyResponse","","","",""
"/v1/feslive/lobby_announcement","IFesliveApi","FesliveLobbyAnnouncementWithHttpInfo","string liveId","FesliveLobbyAnnouncementResponse","","","",""
"/v1/feslive/lobby_comment","IFesliveApi","FesliveLobbyCommentWithHttpInfo","FesliveCommentRequest","FesliveCommentResponse","","","",""
"/v1/feslive/lobby_gift","IFesliveApi","FesliveLobbyGiftWithHttpInfo","FesliveGiftRequest","FesliveGiftResponse","","","",""
"/v1/feslive/lobby_info","IFesliveApi","FesliveLobbyInfoWithHttpInfo","string liveId, string offsetTimelineId, string offsetCircleChatId","FesliveLobbyInfoResponse","","","",""
"/v1/feslive/lobby_message_card","IFesliveApi","FesliveLobbyMessageCardWithHttpInfo","FesliveMessageCardRequest","FesliveMessageCardResponse","","","",""
"/v1/feslive/lobby_subinfo","IFesliveApi","FesliveLobbySubinfoWithHttpInfo","string liveId","FesliveLobbySubinfoResponse","","","",""
"/v1/feslive/message_card","IFesliveApi","FesliveMessageCardWithHttpInfo","FesliveMessageCardRequest","FesliveMessageCardResponse","","","",""
"/v1/feslive/out_quest_live_ranking","IFesliveApi","FesliveOutQuestLiveRankingWithHttpInfo","FesliveOutQuestLiveRankingRequest","FesliveOutQuestLiveRankingResponse","","","",""
"/v1/feslive/penlight_color","IFesliveApi","FeslivePenlightColorWithHttpInfo","FeslivePenlightColorRequest","json::Value","","","",""
"/v1/feslive/prize","IFesliveApi","FeslivePrizeWithHttpInfo","string liveId, string presentBoxId","FeslivePrizeResponse","","","",""
"/v1/feslive/set_camera","IFesliveApi","FesliveSetCameraWithHttpInfo","FesliveSetCameraRequest","FesliveSetCameraResponse","","","",""
"/v1/feslive/set_flower_stand","IFesliveApi","FesliveSetFlowerStandWithHttpInfo","SetFlowerStandRequest","SetFlowerStandResponse","","","",""
